Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date,_deal_key,_qa_missing_value,_qa_missing_sector
Rengoku,OWNER_003,COMPANY082,Dead,,,367020.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28,Rengoku | COMPANY082,False,False
Rengoku,OWNER_003,COMPANY007,Dead,,,550530.0,2025-08-31,M. Projects On Hold,Pure Service,Renewables,2025-07-28,Rengoku | COMPANY007,False,False
Madara,OWNER_003,COMPANY006,Dead,,,2569140.0,2025-08-31,E. Proposal/Commercials Sent,Pure Service,Renewables,2025-07-28,Madara | COMPANY006,False,False
Obito,OWNER_003,COMPANY053,Dead,,,,2025-09-15,M. Projects On Hold,Pure Service,Renewables,2025-07-28,Obito | COMPANY053,True,False
Obito,OWNER_003,COMPANY174,Dead,,,,2025-08-31,M. Projects On Hold,Pure Service,Renewables,2025-07-28,Obito | COMPANY174,True,False
Akaza,OWNER_003,COMPANY158,Dead,,,,2025-08-31,O. Not Relevant at all,Pure Service,Mining,2025-07-28,Akaza | COMPANY158,True,False
Cell,OWNER_003,COMPANY007,Dead,,,97872000.0,2025-08-31,L. Project Lost,Pure Service,Mining,2025-07-28,Cell | COMPANY007,False,False
Frieza,OWNER_003,COMPANY008,Dead,,,,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28,Frieza | COMPANY008,True,False
Frieza,OWNER_003,COMPANY081,Dead,,,176169600.0,2025-08-31,O. Not Relevant at all,Pure Service,Aviation,2025-07-28,Frieza | COMPANY081,False,False
Beerus,OWNER_002,COMPANY079,Dead,,,,2025-08-31,N. Not relevant at the moment,,Renewables,2025-07-29,Beerus | COMPANY079,True,False
Whis,OWNER_002,COMPANY124,Dead,,,,2025-09-30,O. Not Relevant at all,,Powerline,2025-08-11,Whis | COMPANY124,True,False
Gohan,,COMPANY195,Dead,,,,2025-09-30,D. Feasibility,,Mining,2025-08-25,Gohan | COMPANY195,True,False
Gohan,,COMPANY119,Dead,,,,2025-10-31,E. Proposal/Commercials Sent,,Others,2025-09-05,Gohan | COMPANY119,True,False
Gohan,OWNER_003,COMPANY049,Dead,,,19085040.0,2025-10-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-09-15,Gohan | COMPANY049,False,False
